Series_Title,Overview,Cleaned_Overview,Sentiment,Predicted_Sentiment
The Wizard of Oz,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,dorothy gale swept away farm kansa magical land oz tornado embarks quest new friend see wizard help return home kansa help friend well,positive,2
La règle du jeu,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",bourgeois life france onset world war ii rich poor servant meet french chateau,negative,0
The Thin Man,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",former detective nick charles wealthy wife nora investigate murder case mostly fun,positive,2
All Quiet on the Western Front,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",german youth eagerly enters world war enthusiasm wane get firsthand view horror,neutral,1
Bronenosets Potemkin,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.",midst russian revolution crew battleship potemkin mutiny brutal tyrannical regime vessel officer resulting street demonstration odessa brings police massacre,negative,0
Knives Out,"A detective investigates the death of a patriarch of an eccentric, combative family.",detective investigates death patriarch eccentric combative family,neutral,1
Dil Bechara,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",emotional journey two hopelessly love youngster young girl kizie suffering cancer boy manny meet support group,positive,2
Manbiki kazoku,A family of small-time crooks take in a child they find outside in the cold.,family smalltime crook take child find outside cold,negative,2
Marriage Story,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,noah baumbachs incisive compassionate look marriage breaking family staying together,neutral,2
Call Me by Your Name,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",italy romance blossom seventeenyearold student older man hired father research assistant,positive,2
"I, Daniel Blake","After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",suffered heartattack yearold carpenter must fight bureaucratic force system order receive employment support allowance,neutral,2
Isle of Dogs,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.",set japan isle dog follows boy odyssey search lost dog,neutral,1
Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,national manhunt ordered rebellious kid foster uncle go missing wild new zealand bush,positive,2
Captain Fantastic,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",forest pacific northwest father devoted raising six kid rigorous physical intellectual education forced leave paradise enter world challenging idea mean parent,positive,2
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,boy growing dublin escape strained family life starting band impress mysterious girl like,neutral,2
Thor: Ragnarok,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",imprisoned planet sakaar thor must race time return asgard stop ragnarök destruction world hand powerful ruthless villain hela,negative,0
Nightcrawler,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",louis bloom con man desperate work muscle world la crime journalism blur line observer participant become star story,negative,0
Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,young boy hitler army find mother hiding jewish girl home,positive,2
Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,linguist work military communicate alien lifeforms twelve mysterious spacecraft appear around world,negative,0
Star Wars: Episode VII - The Force Awakens,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",new threat galaxy rise rey desert scavenger finn exstormtrooper must join han solo chewbacca search one hope restoring peace,positive,2
Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,meet jesse celine nine year greece almost two decade passed since first meeting train bound vienna,positive,2
X-Men: Days of Future Past,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,xmen send wolverine past desperate effort change history prevent event result doom human mutant,negative,0
Bir Zamanlar Anadolu'da,A group of men set out in search of a dead body in the Anatolian steppes.,group men set search dead body anatolian steppe,negative,0
The Artist,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,egomaniacal film star develops relationship young dancer backdrop hollywood silent era,positive,2
Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",soldier fighting alien get relive day day restarting every time dy,negative,0
Amour,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",george anne octogenarian couple cultivated retired music teacher daughter also musician life britain family one day anne stroke couple bond love severely tested,positive,2
The Irishman,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",old man recall time painting house friend jimmy hoffa,positive,2
Un prophète,A young Arab man is sent to a French prison.,young arab man sent french prison,positive,2
Moon,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",astronaut sam bell quintessentially personal encounter toward end threeyear stint moon working alongside computer gerty sends back earth parcel resource helped diminish planet power problem,neutral,0
Låt den rätte komma in,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",oskar overlooked bullied boy find love revenge eli beautiful peculiar girl,positive,2
District 9,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,violence ensues extraterrestrial race forced live slumlike condition earth find kindred spirit government agent exposed biotechnology,negative,0
The Wrestler,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",faded professional wrestler must retire find quest new life outside ring dispiriting struggle,positive,2
Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,depressed wealthy businessman find life changing meet spunky carefree young woman,positive,2
Boyhood,"The life of Mason, from early childhood to his arrival at college.",life mason early childhood arrival college,positive,2
"4 luni, 3 saptamâni si 2 zile",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,woman assist friend arranging illegal abortion romania,negative,0
Star Trek,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,brash james kirk try live father legacy mr spock keeping check vengeful romulan future creates black hole destroy federation one planet time,negative,0
In Bruges,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.",guiltstricken job gone wrong hitman ray partner await order ruthless bos bruges belgium last place world ray want,negative,0
The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,impromptu goodbye party professor john oldman becomes mysterious interrogation retiring scholar reveals colleague longer stranger past imagine,negative,0
Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",story battle iwo jima united state imperial japan world war ii told perspective japanese fought,neutral,1
The Fall,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",hospital outskirt los angeles injured stuntman begin tell fellow patient little girl broken arm fantastic story five mythical hero thanks fractured state mind vivid imagination line fiction reality blur tale advance,positive,2
Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",young man survives disaster sea hurtled epic journey adventure discovery cast away form unexpected connection another survivor fearsome bengal tiger,positive,2
Fantastic Mr. Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,urbane fox resist returning farm raiding way must help community survive farmer retaliation,neutral,0
C.R.A.Z.Y.,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",young frenchcanadian growing struggle reconcile emerging homosexuality father conservative value catholic belief,positive,2
Les choristes,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,new teacher severely administered boy boarding school work positively affect student life music,positive,2
Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil,negative,0
Shaun of the Dead,A man's uneventful life is disrupted by the zombie apocalypse.,man uneventful life disrupted zombie apocalypse,neutral,0
Gegen die Wand,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.",intention break free strict familial restriction suicidal young woman set marriage convenience fortyyearold addict act lead outburst envious love,positive,2
Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,life three men childhood friend shattered one family tragedy,neutral,1
Harry Potter and the Prisoner of Azkaban,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",harry potter ron hermione return hogwarts school witchcraft wizardry third year study delve mystery surrounding escaped prisoner pose dangerous threat young wizard,negative,0
Ying xiong,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.",defense officer nameless summoned king qin regarding success terminating three warrior,negative,2
Hable con ella,Two men share an odd friendship while they care for two women who are both in deep comas.,two men share odd friendship care two woman deep coma,negative,0
No Man's Land,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",bosnia herzegovina time heaviest fighting two warring side two soldier opposing side conflict nino ciki become trapped man land whilst third soldier becomes living booby trap,negative,0
Cowboy Bebop: Tengoku no tobira,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",terrorist explosion release deadly virus mass bountyhunting bebop crew catch coldblooded culprit,negative,0
The Bourne Identity,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.",man picked fishing boat bulletriddled suffering amnesia racing elude assassin attempting regain memory,neutral,0
Nueve reinas,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").",two con artist try swindle stamp collector selling sheet counterfeit rare stamp nine queen,positive,0
Children of Men,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",chaotic world woman become somehow infertile former activist agrees help transport miraculously pregnant woman sanctuary sea,positive,2
Almost Famous,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,highschool boy given chance write story rolling stone magazine upandcoming rock band accompanies concert tour,neutral,1
Mulholland Dr.,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",car wreck winding mulholland drive render woman amnesiac perky hollywoodhopeful search clue answer across los angeles twisting venture beyond dream reality,neutral,2
Toy Story 2,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.",woody stolen toy collector buzz friend set rescue mission save woody becomes museum toy property roundup gang jessie prospector bullseye,neutral,2
Boogie Nights,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",back sex safe pleasure business business booming idealistic porn producer aspires elevate craft art discovers hot young talent,positive,2
Mimi wo sumaseba,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",love story girl love reading book boy previously checked library book chooses,positive,2
Once Were Warriors,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,family descended maori warrior bedeviled violent father societal problem treated outcast,negative,0
True Romance,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",detroit lonely pop culture geek marries call girl steal cocaine pimp try sell hollywood meanwhile owner cocaine mob track attempt reclaim,negative,1
Trois couleurs: Bleu,A woman struggles to find a way to live her life after the death of her husband and child.,woman struggle find way live life death husband child,positive,2
Jûbê ninpûchô,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,vagabond swordsman aided beautiful ninja girl crafty spy confronting demonic clan killer ghost past leader bent overthrowing tokugawa shogunate,positive,0
Carlito's Way,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",puerto rican former convict released prison pledge stay away drug violence despite pressure around lead better life outside nyc,positive,2
Edward Scissorhands,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",artificial man incompletely constructed scissors hand lead solitary life one day suburban lady meet introduces world,negative,0
My Left Foot: The Story of Christy Brown,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",christy brown born cerebral palsy learns paint write controllable limb left foot,neutral,0
Crimes and Misdemeanors,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,ophthalmologist mistress threatens reveal affair wife married documentary filmmaker infatuated another woman,positive,2
The Untouchables,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",era prohibition united state federal agent eliot ness set stop ruthless chicago gangster al capone rampant corruption assembles small handpicked team help,negative,0
Hannah and Her Sisters,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",two thanksgiving two year apart hannahs husband fall love sister lee hypochondriac exhusband rekindles relationship sister holly,positive,2
Brazil,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,bureaucrat dystopic society becomes enemy state pursues woman dream,neutral,2
This Is Spinal Tap,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",spinal tap one england loudest band chronicled film director marty dibergi prof fateful tour,neutral,1
A Christmas Story,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.",young boy named ralphie attempt convince parent teacher santa red ryder bb gun really perfect christmas gift,positive,2
The Blues Brothers,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",jake blue released prison put together old band save catholic home brother elwood raised,positive,2
Manhattan,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,life divorced television writer dating teenage girl complicated fall love best friend mistress,positive,2
All That Jazz,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",directorchoreographer bob fosse tell life story detail sordid career joe gideon womanizing drugusing dancer,neutral,1
Dawn of the Dead,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",following evergrowing epidemic zombie risen dead two philadelphia swat team member traffic reporter television executive girlfriend seek refuge secluded shopping mall,negative,0
All the President's Men,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",washington post reporter bob woodward carl bernstein uncover detail watergate scandal lead president richard nixon resignation,neutral,1
La montaña sagrada,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",corrupt greedfueled world powerful alchemist lead messianic character seven materialistic figure holy mountain hope achieve enlightenment,negative,0
Amarcord,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,series comedic nostalgic vignette set italian coastal town,negative,0
Le charme discret de la bourgeoisie,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",surreal virtually plotless series dream centered around six middleclass people consistently interrupted attempt meal together,positive,2
"Aguirre, der Zorn Gottes","In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.",th century ruthless insane lope de aguirre lead spanish expedition search el dorado,negative,0
Harold and Maude,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",young rich obsessed death harold find changed forever meet lively septuagenarian maude funeral,positive,2
Patton,The World War II phase of the career of controversial American general George S. Patton.,world war ii phase career controversial american general george patton,positive,1
The Wild Bunch,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.",aging group outlaw look one last big score traditional american west disappearing around,neutral,1
Night of the Living Dead,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,ragtag group pennsylvanian barricade old farmhouse remain safe horde flesheating ghoul ravaging east coast united state,positive,2
The Lion in Winter,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.",ad king henry ii three son want inherit throne wont commit choice wife variously plot force,neutral,1
In the Heat of the Night,A black police detective is asked to investigate a murder in a racially hostile southern town.,black police detective asked investigate murder racially hostile southern town,negative,0
Charade,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,romance suspense ensue paris woman pursued several men want fortune murdered husband stolen trust,neutral,1
The Manchurian Candidate,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,former prisoner war brainwashed unwitting assassin international communist conspiracy,neutral,0
Spartacus,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,slave spartacus lead violent revolt decadent roman republic,negative,0
L'avventura,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.",woman disappears mediterranean boating trip search lover best friend become attracted,positive,2
Hiroshima mon amour,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,french actress filming antiwar film hiroshima affair married japanese architect share differing perspective war,positive,2
The Ten Commandments,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",moses egyptian prince learns true heritage hebrew divine mission deliverer people,positive,2
The Searchers,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,american civil war veteran embarks journey rescue niece comanche,neutral,1
East of Eden,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",two brother struggle maintain strict bibletoting father favor,neutral,0
High Noon,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",town marshal despite disagreement newlywed bride townspeople around must face gang deadly killer alone high noon gang leader outlaw sent year ago arrives noon train,negative,0
Strangers on a Train,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,psychopath force tennis star comply theory two stranger get away murder,neutral,1
Harvey,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",due insistence invisible six foottall rabbit best friend whimsical middleaged man thought family insane may wiser anyone know,negative,0
Miracle on 34th Street,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",nice old man claim santa claus institutionalized insane young lawyer decides defend arguing court real thing,negative,0
Notorious,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,woman asked spy group nazi friend south america far go ingratiate,positive,0
The Big Sleep,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",private detective philip marlowe hired wealthy family complex case he seen murder blackmail might love,positive,2
The Lost Weekend,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,desperate life chronic alcoholic followed fourday drinking bout,negative,0
The Philadelphia Story,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",rich woman exhusband tabloidtype reporter turn planned remarriage begin learn truth,positive,2
His Girl Friday,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,newspaper editor us every trick book keep ace reporter exwife remarrying,neutral,1
The Adventures of Robin Hood,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",prince john norman lord begin oppressing saxon mass king richards absence saxon lord fight back outlaw leader rebel guerrilla army,negative,0
A Night at the Opera,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,sly business manager two wacky friend two opera singer help achieve success humiliating stuffy snobbish enemy,positive,2
King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,film crew go tropical island exotic location shoot discovers colossal ape take shine female blonde star captured brought back new york city public exhibition,positive,2
Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",circus beautiful trapeze artist agrees marry leader sideshow performer deformed friend discover marrying inheritance,positive,0
Nosferatu,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,vampire count orlok express interest new residence real estate agent hutters wife,positive,2
The Gentlemen,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",american expat try sell highly profitable marijuana empire london triggering plot scheme bribery blackmail attempt steal domain,positive,1
Raazi,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,kashmiri woman agrees marry pakistani army officer order spy pakistan indopakistan war,neutral,2
Sound of Metal,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,heavymetal drummer life thrown freefall begin lose hearing,neutral,1
Forushande,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",participating production death salesman teacher wife assaulted new home leaf determined find perpetrator wife traumatized objection,positive,2
Dunkirk,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",allied soldier belgium british empire france surrounded german army evacuated fierce battle world war ii,neutral,1
Perfetti sconosciuti,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",seven longtime friend get together dinner decide share content every text message email phone call receive many secret start unveil equilibrium tremble,positive,0
Hidden Figures,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,story team female africanamerican mathematician served vital role nasa early year u space program,positive,2
Paddington 2,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",paddington ben whishaw happily settled brown family popular member local community pick series odd job buy perfect present aunt lucy imelda stauntons th birthday gift stolen,positive,2
Udta Punjab,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,story revolves around drug abuse affluent north indian state punjab youth succumbed enmasse resulting socioeconomic decline,positive,1
Kubo and the Two Strings,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,young boy named kubo must locate magical suit armour worn late father order defeat vengeful spirit past,positive,2
M.S. Dhoni: The Untold Story,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,untold story mahendra singh dhonis journey ticket collector trophy collector worldcupwinning captain indian cricket team,neutral,1
Manchester by the Sea,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.,depressed uncle asked take care teenage nephew boy father dy,neutral,2
Under sandet,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",postworld war ii denmark group young german pow forced clear beach thousand land mine watch danish sergeant slowly learns appreciate plight,negative,0
Rogue One,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,daughter imperial scientist join rebel alliance risky move steal plan death star,neutral,1
Captain America: Civil War,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,political involvement avenger affair cause rift captain america iron man,neutral,0
The Hateful Eight,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",dead wyoming winter bounty hunter prisoner find shelter cabin currently inhabited collection nefarious character,negative,0
Little Women,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",jo march reflects back forth life telling beloved story march sister four young woman determined live life term,positive,2
Loving Vincent,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",story depicted oil painted animation young man come last hometown painter vincent van gogh robert gulaczyk deliver troubled artist final letter end investigating final day,negative,0
Pride,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,uk gay activist work help miner lengthy strike national union mineworker summer,positive,2
Le passé,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",iranian man desert french wife two child return homeland meanwhile wife start new relationship reality husband confronts upon wife request divorce,positive,2
La grande bellezza,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",jep gambardella seduced way lavish nightlife rome decade th birthday shock past jep look past nightclub party find timeless landscape absurd exquisite beauty,neutral,0
The Lunchbox,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,mistaken delivery mumbai famously efficient lunchbox delivery system connects young housewife older man dusk life build fantasy world together note lunchbox,positive,2
Vicky Donor,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",man brought infertility doctor supply sperm becomes biggest sperm donor clinic,neutral,0
Big Hero 6,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",special bond develops plussized inflatable robot baymax prodigy hiro hamada together team group friend form band hightech hero,positive,0
About Time,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",age tim discovers travel time change happens happened life decision make world better place getting girlfriend turn easy might think,positive,2
English Vinglish,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",quiet sweet tempered housewife endures small slight welleducated husband daughter every day inability speak understand english,negative,0
Kaze tachinu,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",look life jiro horikoshi man designed japanese fighter plane world war ii,neutral,0
Toy Story 4,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",new toy called forky join woody gang road trip alongside old new friend reveals big world toy,positive,2
La migliore offerta,A lonely art expert working for a mysterious and reclusive heiress finds not only her art worth examining.,lonely art expert working mysterious reclusive heiress find art worth examining,positive,0
Moonrise Kingdom,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",pair young lover flee new england town cause local search party fan find,positive,2
